order_id,order_number,user_id,payment_status,shipping_status,total_amount,discount_amount,coupon_code,points_used,points_earned,paid_at,created_at
103,KRX-20260809-0002,2,paid,preparing,0,0,,2227,0,2026-08-09T11:23:22.776740,2026-08-09T11:23:22.736174
100,KRX-20260809-0001,2,paid,preparing,0,0,,2227,0,2026-08-09T10:13:25.633120,2026-08-09T10:13:25.593116
94,KRX-20260808-0003,2,paid,preparing,0,0,,2227,0,2026-08-08T15:41:54.342238,2026-08-08T15:41:54.299338
89,KRX-20260808-0001,2,paid,preparing,0,0,,2227,0,2026-08-08T15:19:37.798801,2026-08-08T15:19:37.774733
86,KRX-20260807-0029,2,paid,preparing,0,0,,2227,0,2026-08-07T18:15:35.210671,2026-08-07T18:15:35.177600
83,KRX-20260807-0028,2,paid,preparing,0,0,,2227,0,2026-08-07T18:12:49.864874,2026-08-07T18:12:49.836141
80,KRX-20260807-0027,2,paid,preparing,0,0,,2227,0,2026-08-07T18:09:59.354363,2026-08-07T18:09:59.325210
77,KRX-20260807-0026,2,paid,preparing,0,0,,2227,0,2026-08-07T18:06:32.326438,2026-08-07T18:06:32.300852
71,KRX-20260807-0025,2,paid,preparing,0,0,,2227,0,2026-08-07T17:04:02.015611,2026-08-07T17:04:01.977324
68,KRX-20260807-0024,2,paid,preparing,0,0,,2227,0,2026-08-07T16:57:10.617201,2026-08-07T16:57:10.592269
65,KRX-20260807-0023,2,paid,preparing,0,0,,2227,0,2026-08-07T16:50:25.064262,2026-08-07T16:50:25.042343
63,KRX-20260807-0022,2,paid,preparing,0,0,,2227,0,2026-08-07T15:56:52.748187,2026-08-07T15:56:52.721825
61,KRX-20260807-0021,2,paid,preparing,0,0,,2227,0,2026-08-07T15:41:03.601259,2026-08-07T15:41:03.568066
56,KRX-20260807-0020,2,paid,preparing,0,0,,2227,0,2026-08-07T14:51:06.942691,2026-08-07T14:51:06.917192
52,KRX-20260807-0019,2,paid,preparing,0,0,,2227,0,2026-08-07T14:16:05.079493,2026-08-07T14:16:05.045644
49,KRX-20260807-0018,2,paid,preparing,0,0,,2227,0,2026-08-07T14:09:23.202570,2026-08-07T14:09:23.179003
46,KRX-20260807-0017,2,paid,preparing,0,0,,2227,0,2026-08-07T14:03:02.351929,2026-08-07T14:03:02.326249
43,KRX-20260807-0016,2,paid,preparing,0,0,,2227,0,2026-08-07T13:52:02.753436,2026-08-07T13:52:02.728728
41,KRX-20260807-0015,2,paid,preparing,0,0,,2227,0,2026-08-07T13:48:38.118565,2026-08-07T13:48:38.084700
40,KRX-20260807-0014,2,paid,preparing,0,0,,2227,0,2026-08-07T13:46:24.471121,2026-08-07T13:46:24.435929
39,KRX-20260807-0013,2,paid,preparing,0,0,,2227,0,2026-08-07T13:43:49.795135,2026-08-07T13:43:49.769535
38,KRX-20260807-0012,2,paid,preparing,0,0,,2227,0,2026-08-07T13:40:30.726138,2026-08-07T13:40:30.681151
37,KRX-20260807-0011,2,paid,preparing,0,0,,2227,0,2026-08-07T13:37:57.806833,2026-08-07T13:37:57.780977
36,KRX-20260807-0010,2,paid,preparing,0,0,,2227,0,2026-08-07T13:35:18.729033,2026-08-07T13:35:18.694667
34,KRX-20260807-0009,2,paid,preparing,0,0,,2227,0,2026-08-07T13:19:35.392484,2026-08-07T13:19:35.358101
27,KRX-20260807-0007,2,paid,preparing,0,0,,2227,0,2026-08-07T11:35:14.387904,2026-08-07T11:35:14.363650
24,KRX-20260807-0006,2,paid,preparing,0,0,,2227,0,2026-08-07T11:30:10.305027,2026-08-07T11:30:10.267378
21,KRX-20260807-0005,2,paid,preparing,0,0,,2227,0,2026-08-07T11:10:05.484025,2026-08-07T11:10:05.450448
19,KRX-20260807-0004,2,paid,preparing,0,0,,2227,0,2026-08-07T10:56:20.566065,2026-08-07T10:56:20.529339
17,KRX-20260807-0003,2,paid,preparing,0,0,,2227,0,2026-08-07T10:34:06.996587,2026-08-07T10:34:06.956857
